Height cm (H),Width cm (W),Ratio (H/W),Lower Angle (L),Upper Angle (U),Ratio(L/U),"Internal Angle (Right,2nd)",Ratio(L/I),Leave Model
15,7.6,1.973684211,90,95,0.947368421,55,1.636363636,1
15.2,8.4,1.80952381,105,95,1.105263158,60,1.75,1
13.6,7.2,1.888888889,100,100,1,60,1.666666667,1
19.5,10.9,1.788990826,105,95,1.105263158,70,1.5,1
14.9,7.9,1.886075949,110,100,1.1,65,1.692307692,1
17.6,8.85,1.988700565,110,85,1.294117647,75,1.466666667,1
13,6.5,2,100,95,1.052631579,65,1.538461538,1
14,7.2,1.944444444,110,100,1.1,50,2.2,1
13.3,6.7,1.985074627,105,90,1.166666667,80,1.3125,1
13,5.7,2.280701754,80,95,0.842105263,55,1.454545455,1
12.4,6.2,2,90,90,1,60,1.5,1
12.7,6.2,2.048387097,90,105,0.857142857,60,1.5,1
12,7.3,1.643835616,110,90,1.222222222,50,2.2,2
12,7,1.714285714,110,90,1.222222222,45,2.444444444,2
11.5,7.3,1.575342466,110,100,1.1,60,1.833333333,2
13.3,8.2,1.62195122,130,100,1.3,50,2.6,2
13.7,9.7,1.412371134,130,100,1.3,45,2.888888889,2
14.9,9,1.655555556,100,100,1,50,2,2
13,9.1,1.428571429,130,120,1.083333333,55,2.363636364,2
12.6,8,1.575,110,110,1,45,2.444444444,2
10.7,6.6,1.621212121,120,120,1,50,2.4,2
11.4,8,1.425,130,110,1.181818182,40,3.25,2
14.6,9.7,1.505154639,120,110,1.090909091,50,2.4,2
12.6,8.2,1.536585366,140,100,1.4,45,3.111111111,2
14.5,10.1,1.435643564,130,100,1.3,50,2.6,2
12.4,8.4,1.476190476,120,105,1.142857143,45,2.666666667,2
12.6,7.6,1.657894737,120,100,1.2,40,3,2
13.2,8.5,1.552941176,130,110,1.181818182,40,3.25,2
13.5,7.5,1.8,120,90,1.333333333,40,3,2
15.1,10.1,1.495049505,130,100,1.3,50,2.6,2
13,7.5,1.733333333,110,90,1.222222222,50,2.2,2
13.3,9,1.477777778,120,110,1.090909091,60,2,2
15,8.6,1.744186047,120,100,1.2,40,3,2
13.8,9.6,1.4375,130,110,1.181818182,40,3.25,2
13,7.6,1.710526316,125,100,1.25,50,2.5,2
14.2,9.3,1.52688172,140,100,1.4,40,3.5,2
13.2,8.6,1.534883721,140,100,1.4,50,2.8,2
14,10,1.4,120,100,1.2,50,2.4,2
13,8.6,1.511627907,140,105,1.333333333,40,3.5,2
12.9,7.3,1.767123288,110,100,1.1,40,2.75,2
13.6,8.3,1.638554217,130,110,1.181818182,50,2.6,2
13.9,9.4,1.478723404,135,110,1.227272727,50,2.7,2
12.8,8.6,1.488372093,130,110,1.181818182,40,3.25,2
13.4,8.2,1.634146341,110,80,1.375,50,2.2,2
14.9,8.7,1.712643678,120,100,1.2,40,3,2
